model,Pi_B,seed_index,seed,K,R,Phi
M3_ODC,0.8,13,1080013,0.4241136996291924,1.5791311798783183,0.0073296874999999985
M3_ODC,0.8,14,1080014,0.4921296933709994,1.5440109663996886,0.007404687499999998
M3_ODC,0.8,15,1080015,0.4669678451359637,1.5853640685274089,0.0058011718749999995
M3_ODC,0.8,16,1080016,0.4860325004116734,1.697766762907477,0.010460546874999999
M3_ODC,0.8,17,1080017,0.4510460346700142,1.6988892982908632,0.007859375
M3_ODC,0.8,18,1080018,0.4867160811018131,1.5286570952455114,0.0058765625
M3_ODC,0.8,19,1080019,0.48494940010425835,1.614092987309574,0.006801171875
M3_ODC,0.9,0,1090000,0.43638697613499805,1.7715751105391906,0.009509375000000002
M3_ODC,0.9,1,1090001,0.4886856609374294,1.7239399407897016,0.008460546874999999
M3_ODC,0.9,2,1090002,0.512459451488481,1.6962040365180129,0.0074042968750000025
M3_ODC,0.9,3,1090003,0.42477334921529225,1.730744625731942,0.007788671875000002
M3_ODC,0.9,4,1090004,0.4570896246790126,1.6679084313244938,0.006351171874999999
M3_ODC,0.9,5,1090005,0.5304416334547755,1.6123603651229599,0.008335937500000001
M3_ODC,0.9,6,1090006,0.4577687150857306,1.6979462211497354,0.009225
M3_ODC,0.9,7,1090007,0.42194981379129637,1.665191966996598,0.008582421875
M3_ODC,0.9,8,1090008,0.46514380785040765,1.6999080865610219,0.008032812499999998
M3_ODC,0.9,9,1090009,0.46029887480498977,1.6991799739923568,0.006582421874999999
M3_ODC,0.9,10,1090010,0.47794411978669316,1.6294589054136788,0.008896875000000002
M3_ODC,0.9,11,1090011,0.464710365310935,1.767044727673864,0.007263671875
M3_ODC,0.9,12,1090012,0.4715191038031701,1.775570211191558,0.008429296875000002
M3_ODC,0.9,13,1090013,0.47980674003774865,1.775974753163738,0.009773046875
M3_ODC,0.9,14,1090014,0.502125522463587,1.6562906750481294,0.008176171875
M3_ODC,0.9,15,1090015,0.47785350554351397,1.7980228077723164,0.007812499999999998
M3_ODC,0.9,16,1090016,0.44641750988812323,1.6818576963167016,0.006732421875000001
M3_ODC,0.9,17,1090017,0.4525378585322799,1.7445110347410628,0.008116796875
M3_ODC,0.9,18,1090018,0.44463014549587815,1.6996547717763812,0.008082421874999999
M3_ODC,0.9,19,1090019,0.4757743837269315,1.7121600193542075,0.006694921874999998
M2p_HMM,0.1,0,2010000,0.866325099665531,1.1547974627613276,0.0
M2p_HMM,0.1,1,2010001,0.880780912208422,1.1491316328295225,7.421875000000001e-06
M2p_HMM,0.1,2,2010002,0.8752070085367611,1.1581870774548184,1.40625e-05
M2p_HMM,0.1,3,2010003,0.8835780359613391,1.159630092493579,1.40625e-05
M2p_HMM,0.1,4,2010004,0.884505311327074,1.1597001658091535,0.0
M2p_HMM,0.1,5,2010005,0.8805430163288471,1.163609670415012,7.421875000000001e-06
M2p_HMM,0.1,6,2010006,0.8792658553379042,1.1638513737145402,1.40625e-05
M2p_HMM,0.1,7,2010007,0.8692758679256177,1.161344419750111,2.5e-05
M2p_HMM,0.1,8,2010008,0.8668224209325227,1.1688822187124852,7.4218750000000025e-06
M2p_HMM,0.1,9,2010009,0.8766217662231736,1.1611229825941494,1.4062500000000001e-05
M2p_HMM,0.1,10,2010010,0.8728584025036847,1.155295930652979,1.40625e-05
M2p_HMM,0.1,11,2010011,0.8727627792239636,1.1646862118100976,1.40625e-05
M2p_HMM,0.1,12,2010012,0.8629254855301092,1.1683612020332867,0.0
M2p_HMM,0.1,13,2010013,0.8815984399531579,1.1549271987337557,7.4218750000000025e-06
M2p_HMM,0.1,14,2010014,0.8710737776815873,1.1520316637014945,7.4218750000000025e-06
M2p_HMM,0.1,15,2010015,0.877700881723507,1.156208879949899,7.4218750000000025e-06
M2p_HMM,0.1,16,2010016,0.870226642983619,1.1727353680634622,0.0
M2p_HMM,0.1,17,2010017,0.8688608465826709,1.1717219680524327,7.4218750000000025e-06
M2p_HMM,0.1,18,2010018,0.8810073747709326,1.168116932288887,4.0625000000000005e-05
M2p_HMM,0.1,19,2010019,0.8696712080995583,1.1521692004510689,7.4218750000000025e-06
M2p_HMM,0.2,0,2020000,0.8784456604922569,1.2698840349499767,7.4218750000000025e-06
M2p_HMM,0.2,1,2020001,0.8566365119979511,1.2555280575164822,4.0625000000000005e-05
M2p_HMM,0.2,2,2020002,0.8823088223747289,1.2643601268307398,2.929687500000001e-05
M2p_HMM,0.2,3,2020003,0.8704751487555408,1.25141508288506,2.5e-05
M2p_HMM,0.2,4,2020004,0.8665429687192918,1.2601012099811004,1.9921875e-05
M2p_HMM,0.2,5,2020005,0.8765343548389789,1.2605341126912566,1.9921875000000005e-05
M2p_HMM,0.2,6,2020006,0.882498182178814,1.2586665454504267,2.5e-05
M2p_HMM,0.2,7,2020007,0.8777369933734003,1.2575941130896637,1.9921875000000005e-05
M2p_HMM,0.2,8,2020008,0.8828994214319447,1.2456813403844276,7.4218750000000025e-06
M2p_HMM,0.2,9,2020009,0.8803251664527025,1.2611484864047973,4.0625e-05
M2p_HMM,0.2,10,2020010,0.8672221916506649,1.2635021612235835,2.5e-05
M2p_HMM,0.2,11,2020011,0.8844821119773166,1.2760414901246135,0.0
M2p_HMM,0.2,12,2020012,0.8866705942925807,1.2646150996449474,1.9921875000000005e-05
